B-AD,"Support for this American life comes from Capital One with the Capital One , Quicksilver Card with Quicksilver ."
O,"So two ages come in and they read me my rights , so I thought , OK , this is criminal ."
O,And so it is .
O,Are you familiar with this piece of piece of paper ?
O,And they slide it over to me from his 18 years as a customs officer .
O,He could tell right away what it was .
O,A Mexican birth certificate .
O,I just didn't know whose it was until I actually read it .
O,So I start reading .
O,I see my name down really is .
O,"And I see my parents saying , Francis ."
O,"I'm gonna eat , though ."
O,And my grandparents names in their manual .
O,"Hallum , they recognize anyone ."
O,"I've never seen it , but I know who that is mine because it's got my name , my parents names and my grandparents names ."
O,But I don't recognize the date of birth .
O,That's a different one from the one I have now on this birth certificate .
O,"Not only was this birthday different , but more importantly , so is his place of birth , a village outside of Matamoros , Mexico ."
O,"If this thing was real , then Raul was not American ."
O,Roe was confused .
O,"He had his birth certificate from Brownsville , Texas ."
O,"He'd been using it his whole life , didn't make sense ."
O,The agents explained Raul had applied for a green card for his brother as part of the application process .
O,They'd looked in the rules own citizenship documents and in their research they'd stumbled onto this .
O,This Mexican birth certificate .
O,And here they were .
O,"Raul was like , look , this is not the first time someone's scrutinized my citizenship ."
O,"We'll get to the bottom of it and clear it up , he told the agents ."
O,You know what ?
O,Let me get my dad in here right then and there .
O,He called his nephew and got him to drive his dad over the border .
O,They all met just a few hours later at a Starbucks .
O,Raul sat with his father and the two investigators at a table inside .
O,No one ordered coffee .
O,Rose dad Margarito told the investigators the story that Raul had always heard the roles .
O,Mom crossed the border so he'd be born in Brownsville .
O,Then the investigators showed him the Mexican birth certificate .
O,"Marguerite , they'll look down at the table ."
O,"He admitted that , yes , Rawal was born in Mexico at home ."
O,Yes .
O,"His birth date was in 1968 , not 1969 ."
O,Yes .
O,Rawal was a Mexican citizen .
O,He had been texting me during the day that trowels wife Anita because Anita also works in immigration .
O,She knew how serious this all was .
O,He texted me back a message that indicated that it was regarding his birth .
O,"So I said , well , where are you ?"
O,And he told me where he was .
O,"And I said , OK , I'm on my way ."
O,She rushed over to the Starbucks .
O,"And when I got to the location , him and his dad were walking out ."
O,They were both crying .
O,"And I heard my father in law , my swagger , telling him ."
O,Lost to me .
O,Is supposed to be in .
O,"I'm sorry , son ."
O,I did it for your benefit and I just my heart sank .
O,And I feel bad .
O,"Now , because I literally unloaded on my father in law , I told him off ."
O,"And of course , that just says we just did ."
O,We did it because we thought it was best for you to give you a better opportunity .
O,And he has had a great opportunity .
O,"If it wasn't for what they did , I wouldn't have him and I wouldn't have my kids ."
O,I'm thankful for that .
O,"But at any point they could have said , wait , I need to tell you this ."
O,And they never did .
O,Rose sister saw it differently .
O,"They don't blame their dad , Marguerite , though they tried to convince Hribal that what their father did was forgivable , even understandable ."
O,"Back then , unauthorized border crossings were an unremarkable fact of life ."
O,"The border fence , the agents , surveillance blimps that all came later , especially after 9/11 ."
O,"Marguerite , though , told me he regrets getting the fraudulent birth certificate now ."
O,"He prides himself on being honest , and he said he's ashamed to face war ."
O,But it didn't seem like such a serious offense at the time .
O,"It's hard to get exact numbers , but one investigation in the 1990s found 900 fraudulent birth certificates registered by midwives in South Texas ."
O,Same as rivals .
O,The undoing of rivals citizenship set off a chain reaction in his family .
O,"Son , who he'd had from a previous marriage , he'd gotten his citizenship through rule ."
O,Here's an idea again .
O,What happens then ?
O,"What happens to my daughter , law , my grandkids , if he gets deported ?"
O,"People were thinking that , you know , it's that ripple effect ."
O,"Raul broke the news to his son , Raul Junior ."
O,"That afternoon after he left the Starbucks , he explained the whole thing ."
O,"Raul's citizenship is no longer valid , so neither was Raul Juniors ."
O,Now they were both undocumented .
O,"Incredibly , Raul Junior had just applied to become a CBP officer himself ."
O,His interview is coming up in a couple of weeks .
O,"Now , of course , that wasn't going to happen ."
O,"Robles lawyer told me that when someone like Raul signs up to serve in the government , like by joining the military or working for CBP , the government doesn't look too hard for reasons why they can't ."
O,"It's when the person asks for something in return , like a green card for a brother that the government takes a closer look ."
O,"After that day at Starbucks , Roland , Anita immediately made a plan for how to fix all this ."
O,Could just apply for a green card because his wife is a citizen .
O,It would be a hassle .
O,But they will get it .
O,So they filled out the application and Raul in his railway was super upfront about everything .
O,He knew what he was up against .
O,"He'd made a false claim to U.S. citizenship , said he was an American when he really wasn't ."
O,"But there's a clause in the U.S. immigration code that says if he didn't do it knowingly , the government can exercise discretion ."
O,"He and Anita were hoping that USCIS , the agency that issues green cards , would see this all as a big mix up , granting the exception and they would be done ."
O,"They thought it would happen quickly , actually , which wasn't the case for a long time ."
O,They didn't hear anything so long .
O,They started to get nervous .
O,They start to look for help from public officials .
O,"After all , rows of veteran law enforcement , they reach out to their congressmen ."
O,"Then Ted Cruz , the senator ."
O,That's not the full list .
O,"Well , I told them the other day , I said , you know , I said we both voted for Trump ."
O,"Why don't we call him and say , hey , help me out ."
O,I voted for you .
O,"I said , no matter not ."
O,You might come down at the ports you .
O,"And then where would we be even as far A.L.S. , the Locascio Corpus ."
O,I sent her a message before we contacted you .
O,She never responded .
O,"Everywhere they looked , people were turning their backs ."
O,That thing about our customs officers aren't supposed to hang out with undocumented people .
O,That was Raul now .
O,"So all his friends , the co-workers , he referred to , his family , they almost all abandoned him in theory ."
O,"His wife , Anita , shouldn't even be hanging out with him ."
O,"One person who did reach out to him , that lady who used to bust his chops in the bridge when he was a kid ."
O,"I will explain to my producer , Nadia Raymond ."
O,She thought I was having financial troubles .
O,And so she called me up and she offered to give me money .
O,"But she didn't say anything to you about like your you know , your citizenship or anything like that ."
O,"No , I told her ."
O,I told her .
O,I guess you were right .
O,Would she say she just started laughing ?
O,She says .
O,"Says , I don't say that ."
O,"Another friend who stood by Raoul and still season is John Garcia , the JAG ."
O,It's his initials .
O,They met for breakfast at a Mexican place across the street from an immigration detention center for kids .
O,"The JAG is allowed to see redwall because he's retired , left customs last year , said it was too stressful ."
O,"He wanted something more relaxed , so he became a drill sergeant at a boot camp for kids who get in trouble ."
O,They gossip about work .
O,He got a promotion .
O,But that guy with the dog breath about his hygiene and the Jags encounter with that woman in the cargo lane will keep the Lavinia's lawyer a lawyer .
O,She slapped me .
O,"Well , she did ."
O,Nobody .
O,"Yeah , she just lit up the freakin dynamite , man ."
O,I was coming back so much drunk .
O,"Eventually , after about 40 minutes , they finally start talking about Rawal situation , about how he's afraid to even leave the house ."
O,"Like right now , I don't have any status at all ."
O,"Well , I can get stopped right now and I can get deported ."
O,Pretty much all set up for deportation .
O,It's it's on my side to it the most .
O,"It's a little bit more difficult to deal with because if I get stuck in my walbert for know , I'm a goner ."
O,I have no status .
O,"So right now , can I really go out ?"
O,I go out all .
O,I'm looking over my shoulder .
O,Abe was like all these arguments in the same boat .
O,Exactly .
O,Raul tells the JAG he's been waiting way too long for an answer on his green card .
O,I'm starting to get really frustrated .
O,It feels like the government's singling him out because he was a customs officer .
O,He thinks they're trying to cover up that they employed an undocumented immigrant by mistake for so long .
O,"He says this over and over , tells me lots of times ."
O,But the Jags not sure he's right .
O,He says maybe the government wants to show they don't give anyone preferential treatment .
O,"Unfortunately , if it ever comes out , I was going to have to show that ."
O,"Well , you know , we read this ."
O,We gave him what he deserved .
O,Everybody else .
O,"You know , why are we breaking the law ?"
O,We're gonna give him an exception .
O,"Everybody's gonna say , wait a minute , you can't do that ."
O,"Why the JAG does try to make Raul feel better , tells him he's sure he'll get us citizenship eventually ."
O,"Yes , I will if he's talking to his dad ."
O,He isn't .
O,The JAG says he should .
O,"But ultimately , what leaves an impression on me is that he talks about Rodwell's case like any other ."
O,"Like an unfortunate undocumented person , I will sit there taking it all in , but looking like he doesn't really agree ."
O,"Roland , Anita had been waiting for nine months when they finally got called in for the green card interview ."
O,Anita said it was a jarring experience .
O,These were officers like the guys they both worked with .
O,We're the first ones to jump in when things got tough .
O,They'd had each other's backs for years .
O,If anyone would get that Raul had done nothing wrong .
O,You'd be then .
O,But that's not what happened .
O,We were treated like criminals .
O,They took a sworn statement from each of us .
O,They took two from him like they were trying to trip him up or tripped me up or something .
O,And I don't blame the specific officers that did the interview .
O,You do what you're told .
O,If I didn't need my federal job .
O,I would have told them all to go to hell .
O,It's about as dramatic a reversal as you could imagine .
O,Rawal was a hard ass rule following law enforcement officer who'd learned he'd been violating the very rules he'd been enforcing for almost 20 years .
O,Did it change him ?
O,Did he see things differently ?
O,Did the rules seem fair ?
O,Now that he's on the receiving end of them ?
O,We talked about this a lot .
O,Raul says the cases he's thinking about now are the ones where he stuck to the rules and didn't give people a break .
O,"And as a result , they suffered badly ."
O,"Like there's this one case , a brother and a sister ."
O,They were both really young .
O,They were being smuggled .
O,We had to like call the consulate and arrange transportation back to their home countries .
O,It turns out that this little boy was he was coming to donate a an organ to a sister who was dying in Houston .
O,He was going to donate his one of his kidneys and we couldn't even let him through .
O,To save this little girl's life .
O,"And the little boy was like , man , I gotta go , I have to go ."
O,"And they said , no , we can't ."
O,And we had to turn back .
O,He starts crying and crying and crying and .
O,And then what's wrong ?
O,"Hey , what's going on ?"
O,Why Ukraine ?
O,So I left my Bible over there .
O,"We'll just give you another one , it's a no no ."
O,That's my Bible .
O,The .
O,"At this point in the interview , Raul got out of his chair , got some water from the kitchen ."
O,"I'm sorry , man ."
O,Take your time .
O,"Now , man , this the man I haven't caught in a long time , do you ?"
O,Good .
O,I just had to turn more .
O,"And now that I felt like he was doing it for a good reason , it was done ."
O,So he felt he was doing something good .
O,And then he was being treated like like like that .
O,"This is a story he's always felt bad about , but it feels worse now ."
O,I think in part because he can relate to the kid a little more to someone trying to do the right thing .
O,Caught on the wrong side of the rules .
O,It's also a story we're following .
O,The rules makes you do a thing that also feels very wrong .
O,You place a lot of faith in the rules .
O,Yeah .
O,"Because when you did these difficult things that you had to do , deport a teen or , you know , turn back this organ donor child ."
O,It was sort of like essentially the rules are the rules .
O,I can't do anything about it .
O,"And now that you're on the receiving end of that , do the rules seem more arbitrary to you or meaningless than they used to ?"
O,No .
O,They don't .
O,I still believe that the rules are the rules they still apply .
O,And I have to abide by them .
O,I still have to follow the rules regardless of what the outcome is or what .
O,What happens .
O,"And that's the frustrating part , is that they they've gone overboard on my my case and my my my my situation there ."
O,They're doing things differently with me because who I am .
O,"USCIS won't comment on ongoing cases , but I ran this by four immigration lawyers and they said everyone is being treated badly ."
O,I didn't think Rawal was being treated worse than anyone else .
O,"One in Texas who has a lot of experience in this exact kind of case said , sure , two years ago Raul would have gotten a green card ."
O,"But since President Trump , basically everyone with fraudulent birth certificates is denied ."
O,"In fact , anything she said , he's lucky they didn't lock him up or put him into deportation proceedings ."
O,"There's lots of ways this is hard for his wife , Anita ."
O,"She told me she thinks a lot about how Rawal never wanted to grow up in Texas with his an uncle and cousins , how if he'd had it his way , he would have stayed in Mexico with his mom and dad working on the farm ."
O,"In the end , somehow the choices his dad made deprived rival of a home on either side of the border ."
O,"All those years that my husband was here growing up with his aunt and uncle , suffering without his mom and dad , he'd miss his mom ."
O,He always told me .
O,"I wish I had born born in Mexico , because then I could have stayed with my mom and dad ."
O,"And now at the age of 50 , he finds out that he could have had that and they lied to him his entire time ."
O,"And it's like , no , what was it ?"
O,Because they didn't want me .
O,"Raul hasn't talked to his dad in months , since that day at the Starbucks ."
O,It totally changes how I see him now to where I thought he was my hero .
O,"He was even though I didn't grow up with him , I took him to heart ."
O,"I strongly believed in what he told me , what he said ."
O,And one of the things was that and that better be as honest as you can .
O,I don't know .
O,I don't know .
O,I don't know if I'll ever see my dad again after this .
O,Has he reached out ?
O,"No , not at all ."
O,I don't I don't think I want to see him ever again .
O,Months ticked by then a year .
O,But no decision by the government about rolls green card application .
O,"Then on October twenty ninth of last year , Raul got a letter from the government ."
O,His green card application was denied .
O,"They said Raul had made a false claim to U.S. citizenship , said he was an American when he really wasn't ."
O,And also pointed out that he'd committed voter fraud by voting as an undocumented immigrant .
O,"Of course , Raul thought he was a citizen at the time ."
O,He thought voting was the right thing to do .
O,Rose World has shrunk down to a few acres that he and Anita own .
O,"He keeps goats , cattle , a bunch of chickens ."
O,He watches the news in the morning while he walks on the treadmill .
O,His Badge and Integrity Award are still above the TV .
O,"He and Anita had dreamed of retiring in their 50s and driving around the country in an RV , maybe visiting their kids at college or on a base if they decided to join the military ."
O,Now they can't leave town .
O,There are Border Patrol checkpoints on all the major roads heading out of the valley .
O,"After a career of working double shifts and overnights , he finally has time to himself to think maybe too much , the stress of being undocumented is getting to him ."
O,He only sleeps for two or three hours at a time .
O,He and Anita started fighting .
O,I was worried for a while .
O,They were headed for divorce .
O,His lawyer told me that Raul could be in this limbo for three or four more years before exhausting his appeals .
O,Realworld told me he's thought of just giving up and leaving .
O,"It would be drastic , but it would bring this to an end ."
O,"If the courts ultimately deny him a green card and he's ordered to leave the country , he told me he would go ."
O,He'd obey the law .
O,"He said , I'm going to practice what I preach ."
O,"He'd moved to Mexico as a former border officer who'd arrested smugglers , confiscated loads of drugs ."
O,He's worried the cartels might come after him .
O,They would still see him as a U.S. Customs and Border Protection guy the way he wishes everyone else would .
O,"Jimmy Raff is a reporter for The Atlantic Yes , it is a print version of the story and a short video documentary ."
O,You can see Roe and Anita at the Atlantic Web site .
O,They should decide where should .
O,"If don't eat , my program is produced today by Lily Sullivan ."
O,"Our staff includes big matter wunmi , Ella Baker , Emanuel Berry , Susan Burton , Ben Calhoun , Cole Coleman Trimming No Gill , Damien Grape , Seth Win Mechanic Lenamon CEO Nelson Katherine Raimondo Natty Raymond , Christopher Sutanto , Matt Tierney , Nancy Updike and Julie Whittaker , our managing editors ."
O,"Diane Woo , our executive editor , David KESTENBAUM ."
O,Special thanks .
O,Day to Tonya Mentally Horsehead just a D.S. .
O,Lisa Bogalusa .
O,Jodi Goodwin .
O,Dan Kowalski .
O,Steven Yellower .
O,Rachel Rosenblum .
O,And Maura Bingham .
O,"Our Web site , This American Life , dot org ."
O,We can listen to our archive of nearly 700 shows for absolutely free .
O,"This American Life is delivered to public radio stations by PR ads , the Public Radio Exchange ."
O,Thanks as always .
O,"Joe Program's co-founder , Mr. Malet ."
O,Hear everything he knows about management .
O,He told me he learned from one of the actors in West Side Story .
O,"He told me , you take a bottle , you break the bottle ."
O,"And with this , whatever is left , just put it ."
O,I'm IRA Glass .
O,Back next week with more stories of this American Life .
