B-AD,On eBay .
O,"You guys are like , what in the world ?"
O,What could it involve ?
O,It involves your fingers .
O,Let me explain .
O,Okay .
O,"You sending a video to a guy , a quick little clip of you licking your fingers and sucking on them like you are just imagining it's a dick is going to put him over the edge ."
O,Over the way that I've done this .
O,"Well , I'm like thinking about it ."
O,"And I sent a video like this pretty early on with suit , man ."
O,Were and I like horror .
O,Wow .
O,That's how we pay .
O,How I've done it is I will grab two fingers again .
O,This is like get creative .
O,I know some girls .
O,Maybe you want to stick your whole fist in your mouth .
O,Let him know you can take it to the right .
O,"For me personally , I like to do the two fingers ."
O,I take the pointer finger and the middle finger and I'll hold them up .
O,And there will be like a little slit in between .
O,Like read between the lines to pay it .
O,Shit .
O,Got it .
O,And I will lick up the middle so you can kind of see my tongue poking out .
O,And then I will go back down onto both of my fingers with my entire mouth like it's a blow job and then suck it back up .
O,Usually you're going to want to make sure your fingers are wet before this .
O,Yeah .
O,"For example , if you want to kind of ease your way into this or come up with a reason why you're sending this video , what you can say is , baby , I've been thinking about you and I've gotten so wet and I'm going to lick my wetness off my fingers ."
O,"I want to show you , Soha , something like something like send the video , boom ."
O,Make him fall in love .
O,Make him fall in love .
O,"Corona , love , megaphone , love , baby , baby , but magowan love , baby , baby ."
O,Want a one ?
O,Lick the fingers .
O,OK .
O,"I think that's so fucking smart , Sophia , and I appreciate you ."
O,And I don't think it's very common for girls to do it .
O,So I like your yourself either .
O,But try really hard to make sure that your fingers are wet .
O,And I do .
O,And another tip last for this one is I think sometimes girls get in their heads .
O,It's kind of similar to the facial thing .
O,"Taking a video , sucking your fingers ."
O,My big suggestion is we always say fake it till you make it .
O,"But in these situations , you can ."
O,But .
O,If you can actually be like genuinely turned on .
O,"Yeah , that will show through in this video and in your facial , etc. ."
O,So if you're getting a facial and you need to be rubbing your clit or if you're licking your fingers and you need to be masturbating right in like manner that acting did acting .
O,"I mean , the joker ."
O,Okay .
O,Here we go .
O,Yes .
O,Joaquin Phoenix .
O,Yes .
O,He fucking got into that character's so hardcore .
O,He said he went a little crazy .
O,Yes .
O,This is where you channel your inner porn star .
O,Make yourself believe only that your fingers are a day you die .
O,Me ?
O,Yes .
O,Because it will play off differently if you're looking at it like that .
O,And I think that's brilliant .
O,"Even if you are a Mary Beth , if you're a sweet heart , you can still turn out and be a freak on your finger ."
O,You know what I mean ?
O,"Just believing is seeing kind of like the Santa , the you know , when I'm seeing cousin Santa Claus ."
O,"Anyways , moving on ."
O,"Okay , guys , this is I'm excited ."
O,Our last tip and this is the biggest one .
O,We saved the best for last .
O,"This is a big , fat , huge reminder for you all that you are just a hole , at the end of the day you are just a hole ."
O,"That sounds harsh , but you are just a hole ."
O,"Specifically your three , you are just three holes ."
O,"Yeah , and he's trying to figure out which one to put it and we've said it once ."
O,I must say it again .
O,"Why are we bring this up , Sophia ?"
O,I would say the majority of submissions we get from Daddy Gang are from a girl saying my fuck boy is just using me for sex right now .
O,How do I make him want to wife me up ?
O,"And the thing is , you don't ."
O,"You don't , you don't ."
O,Why are we get what ?
O,What have have we taught you ?
O,Nothing .
O,Have we taught you ?
O,Not guys .
O,You don't .
O,You don't .
O,And if you want him to .
O,"If there is any hope , you gotta even also act like you don't want him to think ."
O,"If you're acting like you want , you're if you have the mentality that you want your fuck boy to wipe you up ."
O,You are trash .
O,You are nothing .
O,Get your fucking head .
O,"Guys , this was kind of also brought up because on top of daddy being writing in , Sofia and I were watching a reality television show , Vanderpump Rules ."
O,Yes .
O,I want this little homework for you guys .
O,All right .
O,"You guys are gonna go to Season 8 of Vanderpump Rules and you're gonna watch the first two episodes in the season , Episode 1 in episode tube's his name ."
O,And you are going to specifically focus on this girl named Sheena Shay .
O,Sheena Shea is the definition of everything .
O,We do not want you to do here on call is the definition of a walking hole pretending she's not a walking hole .
O,"OK , little yet ."
O,Qena in her mind believes every word that every fuck boy said .
O,Yes .
O,"And then when they fuck her over , she's the girl that shows up at the bar crying , saying , Yeah , Jeffrey ."
O,What ?
O,But you said that you love me .
O,"He wanted to fuck you , and he wanted to fuck you ."
O,Right .
O,And then you got annoying as fuck and you got clingy and you got in your mindset that you thought that you that he owed you anything other than Dick .
O,"So much so that the guys when the cameras are turned to them and she's not there , they're all talking about how she's a stage five clean klingner ."
O,OK .
O,Can you imagine if you were being called a stage five clinger ?
O,That should be your goal in life to ensure that you are never called that .
O,Because I think of men that could be maybe possibly the worst fucking insult .
O,"And listen , we're talking out Sheena Shea ."
O,We're talking about the daddy game .
O,I I I have her got in my place in this world as a whole .
O,Absolutely .
O,I dunno .
O,I've been in a situation where I've tried to convince myself that the relationship was something more than it was .
O,I've done it .
O,Alex has done it .
O,We've all done it .
O,"Yeah , but the sooner that you can accept that you're just a hole , the quicker you can move on to a guy ."
O,This is me being on it .
O,Yeah .
O,A guy that will see you as a hole with a face .
O,Hell of a hole with a face like you .
O,"It's so fucked up , but it's so also poetic and beautiful ."
O,"You're like , he may see you have a face ."
O,Holy shit .
O,A glorious day for all of us .
O,Daddy gang .
O,Yes .
O,It's so fucking true .
O,"Guys , one of the scenes in the fucking show ."
O,This guy that was is a complete fuck boy fucks like the entire staff at the restaurant they all work at .
O,She got she got emotional and Cina believed all the sweet nothings he was with .
O,Right .
O,I just care so much about Ray Shi on in this scene .
O,She's .
O,She pulled up the text messages and started reading them back .
O,"She's like , but you said this ."
O,Yeah .
O,"He literally is like , no , I did it ."
O,Yeah .
O,"She starts reading a fuck , boy , the things that he was saying ."
O,And you almost want to shake the girl and be like he said he liked you because he wanted right to fuck you .
O,Explain that a little more .
O,Yes .
O,What happens is this guy starts texting you stuff like I've been thinking about you all day .
O,I can't stop .
O,Think you're dead .
O,You're different than all the other girls .
O,You're beautiful .
O,I just .
O,Why ?
O,"Hey , Michelle ."
O,I miss I miss you .
O,"I love just laying and chilling with you like you're such a chill , fun girl ."
O,And then what happens is these girls take comments like that and think that there is all of a sudden a future .
O,"And unfortunately , what it is , is it's them wanting to fuck your pussy , fuck your pussy ."
O,That's literally that's it .
O,Guys will say anything to get in a girl's pants .
O,"milfhunter has literally told us in the EB the milfhunter episode , we go ."
O,OK .
O,What if a girl says that she loves you and he's like .
O,I say I love her .
O,Right .
O,"And we're like , what ?"
O,"He's like , Yeah , I'm not ready to lose the pussy ."
O,I'll say whatever I need to to ensure that I got the pussy .
O,These men are throwing around the L-O-V-E .
O,Men are only willing .
O,"To lose pussy on their terms , and so they are going to continue to say whatever the fuck they want in order to keep fucking you ."
O,And it is your job to make sure that every single thing that man says to you goes in one ear and out the other .
O,Selective hearing .
O,"Selective hearing , you guys ."
O,I'm not kidding .
O,"Until this guy sits you down and he's like , I want you to be my girlfriend ."
O,I want to be exclusive .
O,I want us to be in a committed relationship .
O,You gotta let everything else he says go in one ear and out the .
O,Absolutely .
O,I .
O,I think that especially in quarantine .
O,I've been seeing bitches writing in like it's just so annoying .
O,"He only answers me when , like I send him something sexual ."
O,"If you can't get a fuckin text back in quarantine , you are not shit ."
O,Bottom oh other fuckin barrel .
O,"You're like , oh , half a hole ."
O,Oh you half .
O,A quarter of one .
O,I'm going to just be very open and vulnerable and honest here because this is what we do here on call her daddy .
O,When I was a sophomore at Boston University .
O,Here we go .
O,Here we go .
O,Here she goes .
O,"I've never I think I've heard this story , so I don't go because it's so fucking it does not fully recovered ."
O,"Oh , no ."
O,"Well , you know what it is ?"
O,You and I want everyone .
O,It is good to encounter a fuck .
O,"It is because and there is a lot of times you can encounter them , but there will always be that one that literally changed the trajectory of how you look at men , and sometimes you need that to wake you the fuck ."
O,"So I was a sophomore and I started dating a Red Sox player that was 30 years older than me , 13 years older than little sophomore Alex ."
O,I thought I had it all in my mind .
O,We were together living and loving and cherishing .
O,You were together every other Tuesday .
O,I'm sorry .
O,Pathetic .
O,He was a professional baseball player on the Red Sox .
O,And you were a sophomore in college and you thought .
O,I thought that you guys were something .
O,I had not something .
O,I had nothing .
O,This is the thing .
O,"Like , I remember that experience ."
O,"One , I understand ."
O,"Like , it's hard sometimes as women , especially how emotional we can be like ."
O,Yeah .
O,"When you are infatuated with a boy , it's really hard to fuckin see shit ."
O,You've blinders on .
O,Yeah .
O,"And I have been there and Sophie and I are not better than any you know , I have done as we've learned from our experiences ."
O,And that's why we have this yard .
O,It has .
O,I remember her with my fuck boy .
O,Yeah .
O,I was the girl he would text every time he broke up with his girl .
O,Oh .
O,All ex high would literally just be there waiting for you .
O,I am behind his house and I just remember I really believed I was like over one of these times .
O,I'll be the girlfriend .
O,I just know it .
O,"You're like , it's coming ."
O,And it's like .
O,"You see how he's made seven girls , his girlfriend and not you ."
O,So that's probably not going through your fucking head now .
O,Yeah .
O,"And at the end of the day , until he looks you in the face and he says , be my wife , be my wife , be my let's ."
O,Okay .
O,We can dumb it down a little .
O,Be my girlfriend .
O,Yeah .
O,And when I say that I need you to .
O,You need to be badger about .
O,Please be my girlfriend .
O,It needs to be the 10th time .
O,Ask me if you really fucking means it .
O,Yeah .
O,If he's gonna work a little for it .
O,Last thing I want to say .
O,Sometimes you just gotta take the L and move on .
O,Take the loss .
O,Move on .
O,Because a lot of times too with fuck boys .
O,"If you disappear , your chances of the fuck boy coming back around are way fucking higher than you being the annoying ass cunt that right fuck and leave aside ."
O,And he's like .
O,"Jesus Christ , I could run this bitch over ."
O,"And Shibulal , but I still love you , isn't it ?"
O,Right ?
O,Johnny .
O,"No , Johnny ."
O,Two-Shoes fucking hates you .
O,Yes .
O,"We don't want to give you guys false hope , but if you want even a fuckin fighting chance , then you got a dissappear goes down ."
O,Voll temporarily .
O,Take the L .
O,"All right , let's get to a little ."
O,A little take a trip to France .
O,"We're going to do a little thing I like to call quiz , Jim ."
O,"Oh , like glass of the White Barber ."
O,"Oh , well , the costumes of the motherfucking week ."
O,OK .
O,OK .
O,Here we go .
O,This what ?
O,I'm going to kick it off .
O,"Hi , Ford ."
O,"Oh , God ."
O,"Hey , Daddy's ."
O,I guess this is just a quick little hack for girls in quarantine .
O,I thought this was cute and I think I've done this before .
O,She said sometimes on days where I feel like my body looks great .
O,I'll just grab some of my hottest underwear and bras and stuff like that .
O,And I'll take pictures in each combination of the laundry stuff or just cute little outfits that look good together .
O,And then I'm set for pictures for weeks during quarantine .
O,I think it's so brilliant .
O,I have been so mad at myself at times .
O,"If , like , I got a good spray tan , I got my hair done ."
O,"I'm like , why the fuck wasn't I ?"
O,In my laundry taking pics so that he slides in at 2 a.m. and you're sexting and you're ready to send him picture and you look like a fucking generate disgust .
O,"Yeah , you could just go back to that ."
O,"So I think that's a really good idea of you , especially in KORSNES ."
O,"You guys are broad , right ?"
O,Pick one day right now .
O,"Well , a lot of us have a ton of time on our hands ."
O,I was just sitting in our room .
O,Right .
O,Have a little photoshoot .
O,That is such a good subject .
O,Yeah .
O,Stock up greeting Poppy's .
O,I need some advice on dealing with ego issues .
O,I guess my ex and I broke up after two years in December .
O,"The breakup was amicable and if anything , I wanted it more ."
O,I heard you started dating someone new at the beginning of the year and was happy for him .
O,"However , I just found out he's quarantining with this new lady because he posted a picture of them both together and she is a knockout ."
O,Ten out of ten Victoria's Secret looking bitch .
O,I got so jealous and instantly obviously hated her .
O,How do I deal thing ?
O,Really tough .
O,"When you break up with someone , I think that you should unfollow them ."
O,I agree .
O,So that you don't even need to worry about something like this happening .
O,"Out of sight , out of mind ."
O,"And obviously that for some reason , because I know some people that would create a lot of drama ."
O,You can mewe people's posts in stories .
O,OK .
O,Ever see their shit ?
O,Briley you need to be doing that at least .
O,Yes .
O,"Then on the flip side , because I don't want to be a complete hypocrite ."
O,Yeah .
O,"Alex and I both have been there where not only do we still follow them , but we go and look for the new girls that they're dating up ."
O,I've done that before .
O,And you just gotta be ready for something like that .
O,"Because if she went and looked at this girl and this girl would have been busted as fuck , would you care ?"
O,Would you laugh ?
O,You would laugh .
O,You would feel better that you would feel better about it just because she's fucking hot .
O,And it sad .
O,Yes .
O,"And I mean , also girly you ."
O,This is very superficial .
O,You know what ?
O,He's with like a C. .
O,So it makes you feel better .
O,Convince yourself that she sucks and bad .
O,Yeah .
O,And she's an idiot .
O,Boring as fuck .
O,And also everyone in fucking quarantine right out there quarantining with someone that they're not fully in love with .
O,I'm sure that relation is going to end .
O,All right .
O,They're going to break up .
O,Yeah .
O,They'll be bored .
O,And also you to just think about it like you know him so well .
O,You know what that girl is getting from him and it wasn't enough for you .
O,So it's probably .
O,Who cares what she's getting ?
O,It wasn't enough for you .
O,"And like , that's that ."
O,"And you got to just like own that and like , go focus on yourself ."
O,But I get it .
O,It's I fucking do it .
O,And we stalk like motherfuckers and it can hurt .
O,And then you honestly talk the way Sophie and I talk about it .
O,Find a friend that will let you just fucking talk about it and jack round .
O,Yeah .
O,And then you got to move on .
O,Yes .
O,Yeah .
B-AD,Hi Daddy gang .
I-AD,So I have a new hack for the ladies .
I-AD,"If you're insecure about the way you taste when a guy is going down on you or want to taste more sweet , there's his badge and I'll melt that you insert inside of you and they melt and leave your vagina smelling and tasting great for hours ."
I-AD,It also gives you a lubrication from the oils .
I-AD,The Web site is called Somali for Malé and they have so many flavors to choose from .
I-AD,"Guys , you spell that f e m a l l a y ."
I-AD,So I looked up this Web site because I was feeling this actually sounds fucking cool because who doesn't want her fucking .
I-AD,Amazing .
I-AD,And it gives you lubrication .
I-AD,Ray .
I-AD,I read reviews .
I-AD,"Obviously , I was like , nervous because I'm like , is this a fuckin gyno meeting waiting to happen ?"
I-AD,Because I get like that .
I-AD,"I was going to say I read as many reviews as I could and a lot a majority of them were positive people being like , holy shit , my vagina was like so wet and like , smelled great ."
I-AD,Tasted great .
I-AD,Okay .
I-AD,Something to try this .
I-AD,I'm gonna go buy two .
I-AD,I literally have on my computer and I want to go buy .
I-AD,The reason I love this is because I've heard of putting stuff on the outside to make it taste good .
I-AD,This straight goes in the angles inside and it mel out .
I-AD,"So you guys have to like lay on your bed and it's almost like , yeah , you're just waiting for it ."
I-AD,And then do it like a little bit before your dick appointment .
I-AD,Yeah .
I-AD,The night before .
I-AD,And then you go in there and it's lubed up and it fuckin smells great .
I-AD,I mean why .
E-AD,Amazing .
O,Okay .
O,This is so smart .
O,Okay .
O,Men need to listen .
O,This Gordon said hi .
O,"Daddys just wanted to say that as a single girl swiping on Tinder , when a guy stands next to a taller guy in one of the pictures , it makes him look short ."
O,It doesn't matter if he's six one and the other guy is 6 7 .
O,The 6 1 guy still looks shorter and it's not attractive .
O,I've swiped left on multiple guys after thinking their faces were que- because I was afraid they would be shorter than me .
O,Just me .
O,Love the podcast .
O,Keeping sexy and amazing lady .
O,Brilliant .
O,Brilliant .
O,If you happen to me the other day .
O,Right ?
O,"Even if you're a short guy or a tall guy , it's all about ratio ."
O,And do not stand next to your fucking basketball player frat dude .
O,He's literally said it to girls on the other end .
O,"Like , don't fucking stand next to your friend ."
O,It looks like megane far right ?
O,And you look like a troll under a bridge less .
O,Maybe pick an uglier friend or just buy your fucking cell .
O,"Yes , guys , it's so funny you brought this up ."
O,I was on the dating app the other day and I get this guy's first picture was him and he looks really cute .
O,He was a hockey player .
O,No fucking shocker there .
O,Click on to the next picture .
O,He's walking down the rink hallway and there's two of his teammates with him .
O,"And oh , now I say hey ."
O,"And I'm like , hold on ."
O,This looks like he's so .
O,"And again , there's nothing short with ."
O,There's nothing wrong .
O,There's nothing short with short guys .
O,There's nothing wrong with short guy .
O,"The issue is , is there it's not making you look manly , manly and masculine ."
O,"Like , why are you picking a picture array that you look like the little guy I like ?"
O,Come on .
O,"When you're on a dating app , it's all superficial at first and put your best foot forward ."
O,Okay .
O,I agree .
O,"Just that is a good tip for guys , not just us being on it ."
O,"Yeah , there's absolutely nothing fucking wrong with short guy ."
O,No .
O,Just don't over emphasize .
O,Right .
O,It's just that would just blend here .
O,And if you're 6 1 you're gonna look like you're 5 5 .
O,"If you're standing next to like , you know , that's a good LeBron James , right ?"
O,Boom .
O,"Hi , fathers ."
O,"This question is honestly so gross , but I desperately need an answer ."
O,I spend the night at my boyfriend's house at least five to seven days a week and I practically live there .
O,"Usually if I really need to go the bathroom , I just go back to my apartment and make an excuse ."
O,"However , there's times where I just can't specifically , obviously in quarantine ."
O,"This is usually not something I'm too embarrassed about , but because we have been together for so long ."
O,"When it's the day after drinking or even worse , I'm on my period ."
O,We know how bad that can be .
O,l.o.l .
O,There's no way around it .
O,"I know everyone shits and it's not a huge deal , but I lowkey want to die whenever I have to go out his house ."
O,I just don't know what to do .
O,Can I get your guys thoughts ?
O,How do you go about this ?
O,"Oh , we love we've talked about the infamous PWS situation at Mail's places , but I can imagine it never is any easier ."
O,And did post drinking .
O,Oh yeah .
O,"Oh , yeah ."
O,So I'm not kidding you .
O,We've we've talked about it .
O,They should fucking sponsor us .
O,The poo pourri spray .
O,Yes .
O,I actually ordered some off Amazon that are many per size ones .
O,Yeah .
O,'Cause I go visit a guy when I tell you they were .
O,Smell .
O,It smells like a flower will smell flower .
O,Lemon scent .
O,And I obviously girl .
O,I mean like when we've said like well fuck what if they're like why does it smell like .
O,Would you rather him smell lemons or your shit .
O,Yeah .
O,And we'll leave it up to you .
O,That's up .
O,Go ahead and say a little strawberry fragrance .
O,Yeah .
O,Than a little bit of diarrhea and and you gotta just be patient cause what you're supposed to do is spray it into the toilet before you drop it and then spray off .
O,Right .
O,I mean listen especially post drinking .
O,I like to call it the the .
O,Read Ron Bull .
O,The Code Red Bull .
O,The Gotthard rumble is something that doesn't matter if you're trying for dear life to hold that in .
O,"When you gotta go , you gotta go ."
O,"And if you've got the spring Silvia's done , you've got to spray swear to God you won't you won't have anxiety and maybe turn the sink on ."
O,My friend was telling me that she will light a match .
O,I think that's on .
O,That completely gets rid of the smell .
O,"And I'm like , why are you doing ?"
O,"I'm like , that is you're asking him to be like , were you burning something in the back ?"
O,Were you lighting up in the bathroom without me ?
O,"You're like , you need to get so fucking high before a fucky because ."
O,My God .
O,Yeah .
O,OK .
O,OK .
O,"We love you , daddy ."
O,We feel for you .
O,Thank God .
O,I'm just with Sophia in here .
O,OK .
O,OK .
O,But I'm not thankful .
O,Not code red .
O,"Rumball , code red rumble ."
O,Every mediastinum .
O,OK .
O,"All right , Daddy ."
O,"Oh , my gosh ."
O,So go follow us on Instagram .
O,"Sophia , than at Franklin or the Y ."
O,Alexander Cooper .
O,You heard the beginning of the episode and we usually just tune in that .
O,Tune in next week .
O,That's it .
O,That's it .
O,That's it .
O,We love you .
O,Tune in next week .
O,We fucking love you guys .
O,The fathers were out by .
