B-AD,If you're listening to this podcast it means you're ready .
O,We've been married like 35 years so we're best friends and every day I love her more than the day before .
O,It's beautiful .
O,So one night we're dead and I said look if you never want to hear this again I'll never say it again but I have to tell you that inside myself I feel like I'm a woman .
O,And when I'm making love to you I feel like I am a woman making love to a woman and she's just like the most awesome person I've ever met .
O,And she's like OK you know I can understand that .
O,I didn't really fall in love with a male or a female or you know a big person or small person .
O,I fell in love with your soul . MARTIN And you've got a beautiful soul and that's all that matters .
O,You redefine everything doing
O,so with her support and we have four children and I ask each one of them I said look if you guys don't want me to do this transition to female I won't .
O,We must have raised somewhat right because everyone the four of them said no it's fine with us from Genesis up to her oldest brother Eli .
O,So I did transition in the middle the satellite communications industry .
O,It was their words . There were some jaws dropped and whatnot but interestingly because you know we're all entrepreneurs here the response of Wall Street was was surprisingly I guess predictable .
O,I remember like this one guy at a large fund .
O,It was his Colorado based based fund the name will come to me in a second .
O,He said Me Martine it's had fun with the faith Jarvis fund channel's fund out of out of color .
O,Sure
O,he said Martin . I don't really care if you show up and work in a gorilla suit as long as you keep making money .
O,Grabbing him on Wall Street it's a meritocracy right .
O,So I still don't have any gorilla suits .
O,So it's been I . It's been no problem being a public company CEO openly transgender and I again I feel there's so much that I give gratitude for the love of my partner the love my family the .
O,But probably really close to the top of the list Tony is just being able to be alive in 2019 at this point in time when people can be themselves yes in a meritocratic sense not everywhere not all the time not everybody but certainly this is the best time in the history of the earth to be alive with that
O,as digital transcendence and how you look at that it's a term that most people term probably not even familiar with maybe you can define it for them and give a little sense of that and then also I know the language of you know kind of cyber consciousness and where how you look at the world and how you look at what is happening to consciousness and how it will spread around the universe .
O,Sure well a lot of people have become interested in the possibility of digitally mapping our minds outside of our body .
O,A lot of this started with Alan Turing in the 1940s and the 1950s .
O,It's it's actually a kind of interesting Segway from what you brought up about transgender and as many of you may know Alan Turing is pretty much I would say the father of cyber consciousness as he laid out how a computer could be conscious .
O,He the Turing say some of you heard about right .
O,It's hard to know whether this digital intelligence could be perceived as human .
O,And he was also the guy that cracked the German encryption so the role war too and played a significant role in allowing the allies to world . World War 2 .
O,What's a little bit less known is that he was a gay man and he was a horribly persecuted by that in the UK and finally driven to suicide after being arrested outed humiliated and forced on to medical therapy that he didn't want .
O,And we have to think like what would happen if somebody like Alan Turing had been given the freedom that somebody like myself of has had
O,I would say cyber consciousness would already be happening because he was onto it .
O,But now it's almost like you know Google is taller than it with the mind and Yvonne Musk with our mind uploading .
O,So it's it's no secret that our brains are full of neural connections in each of these neural connections are settings that give rise to all of our memory .
O,The software inside our mind is astonishing because it allows us to recognise each other and to form beautiful sentences and create amazing projects like all of the companies and the projects that you guys are doing within this group .
O,So the software is astonishing .
O,And the question is one will we ever be smart enough to take that software that's within our mind and create a version of it outside of our mind and you can believe that's possible or not .
O,I personally believe it's possible
O,that the body goes away and you put a different substrate to hold your consciousness .
O,Yep .
O,So I think that that's an engineering problem .
O,There's another point of view that says that the brain is so complicated that we could never replicate it outside of our body .
O,My response to that is that a a modern chap like a 777 Dreamliner has something like three million parts .
O,A bird has something like 30 billion parts but the jetliner flies really really well it doesn't do everything the bird does .
O,But we don't need our jetliners to be eating worms and you know so I think like a cyber consciousness might be a little bit different but it's just like if you grow up in America you're gonna be a little bit different than if you grew up as a pygmy in the middle of Africa .
O,I mean your environment is going to change you so I think that's doable .
O,Finally I believe that we our bodies are so beautiful and magical that even after we are able to upload our minds into a competing site substrate and have a Tony Robbins working you know online not just in his body that we will still want our bodies too because I can't even a man I don't even have the imagination to imagine what it would be what could be better than a human body .
O,So I think we will end up happening is that we will use this regenerative medicine technology that you've heard me talking about if I'm making hearts and kidneys and lungs and livers which we are making and many other people in our industry are making to truly will be making skin and hair and pulling the whole thing together .
O,So I definitely don't believe that cyber consciousness means bodies are going away .
O,Bodies are here forever .
O,But what it does mean is that we'll be able to accomplish much more than we can accomplish when all of our mind is instantiated just in our body .
O,We'll be able to accomplish everything that's instantiated in our body as well as having our mind working outside of our body doing lots of other things as well .
O,The bottom line is that life is going to get much more better more interesting more fascinating and I believe it's going to bring us ultimately to the realm of available what I call techno immortality that we will be able to live as our personality as our consciousness as long as we want .
O,Because even when one given body runs out you won't run out you'll still be living outside of your body and you will be able to contract for a replacement body to be built and your mind downloaded back into it .
O,I'm doing a minor version of this right now .
O,I'm building an A.I. as we speak and I have every intervention I've done since I was 20 years old recorded .
O,So you know massive machine learning and I also am disciplined so I've to every interaction since I was twenty three . I dictate what I did what worked what didn't why . We have all the principles
O,we already have the audio or the video at the highest level but that machine learning it work can look at you and read you even better than I cannot remember every single thing I'm doing that so that I could help millions of individual people and millions of places simultaneously .
O,I'm also building one for business and I'm also building with my grandkids and my kids so that I can continue but the idea that I could not just have created that consciousness and have it grow and maybe teach me while I'm still alive could continue but that I could somehow be a part of that consciousness long term is just mind boggling .
O,And seeing someone like you who has taken everything that couldn't be done and say can be done I wouldn't bet against you in a million years and I'm on your team is pretty extraordinary .
O,But thank you .
O,There is good reason for the extraordinary .
O,Thanks so much for tuning in to the Tony Robbins podcast a collection of one on one interviews with thought leaders fascinating stories and exclusive strategies from Tony Robbins himself .
O,If we've added value for you today let us now leave us feedback on iTunes or give us a rating
O,and to get new episodes . The very moment they are released . Subscribe now .
O,You'll be among the hundreds of thousands who are following the Tony Robbins podcast .
O,The Tony Robbins podcast is a collection of interviews and stories and is produced by the Tony Robbins team .
O,Copyright Robin's Research International .
